Current,,
,,
證券代碼,年月日,報酬率％
2355 敬鵬,2001/12/31,0.7538
2356 英業達,2001/12/31,6.6406
2357 華碩,2001/12/31,2
2358 廷鑫,2001/12/31,6.25
2359 所羅門,2001/12/31,6.4516
2360 致茂,2001/12/31,6.0729
2362 藍天,2001/12/31,6.6667
2363 矽統,2001/12/31,-0.8621
2364 倫飛,2001/12/31,4.7619
2365 昆盈,2001/12/31,-0.6061
2367 燿華,2001/12/31,1.3158
2368 金像電,2001/12/31,5.0633
2369 菱生,2001/12/31,6.6148
2371 大同,2001/12/31,6.5657
2373 震旦行,2001/12/31,4.6948
2374 佳能,2001/12/31,6.7797
2375 凱美,2001/12/31,5.1948
2376 技嘉,2001/12/31,2.8302
2377 微星,2001/12/31,1.9231
2379 瑞昱,2001/12/31,1.1834
2380 虹光,2001/12/31,3.5417
2382 廣達,2001/12/31,3.1674
2383 台光電,2001/12/31,3.7175
2385 群光,2001/12/31,6.25
2387 精元,2001/12/31,4.2424
2388 威盛,2001/12/31,3.2727
2390 云辰,2001/12/31,6.9841
2392 正崴,2001/12/31,-2.5316
2393 億光,2001/12/31,4.4444
2395 研華,2001/12/31,4.0462
2397 友通,2001/12/31,3.0588
2399 映泰,2001/12/31,7
2401 凌陽,2001/12/31,1.8868
2402 毅嘉,2001/12/31,4.8077
2404 漢唐,2001/12/31,6.6914
2405 浩鑫,2001/12/31,6.8768
2406 國碩,2001/12/31,3.5928
2408 南亞科,2001/12/31,6.7251
2409 友達,2001/12/31,0
2412 中華電,2001/12/31,0.9709
2413 環科,2001/12/31,3.3981
2414 精技,2001/12/31,2.2346
2415 錩新,2001/12/31,4.4983
2417 圓剛,2001/12/31,0.8621
2419 仲琦,2001/12/31,3.1373
2420 新巨,2001/12/31,6.7797
2421 建準,2001/12/31,4.3077
2423 固緯,2001/12/31,3.6364
2424 隴華,2001/12/31,1.0309
2425 承啟,2001/12/31,6.7708
2426 鼎元,2001/12/31,6.0109
